Id,SalePrice_pred
1461,110725.9028000301
1462,143076.05339545466
1463,159916.88435111355
1464,177806.69655822156
1465,191647.16863140516
1466,167261.0319208744
1467,170496.73480234842
1468,155592.25201113854
1469,202288.24500811583
1470,112222.51972025001
1471,169393.12198506418
1472,97131.47725751702
1473,89258.80117028674
1474,133948.4775375554
1475,108350.96711030015
1476,362056.5231192609
1477,254177.8285317443
1478,322867.56153616775
1479,307895.7411588122
1480,448979.1037112451
1481,308577.7231230053
1482,217421.21015301315
1483,171448.59111489492
1484,165706.17250863998
1485,195512.64277658233
1486,194436.70291898158
1487,325017.263319164
1488,234988.7769581234
1489,186014.7049377186
1490,236774.1199401967
1491,202360.33180205664
1492,92463.34157156078
1493,210810.89039188105
1494,300516.2400076474
1495,281673.0096254827
1496,228979.36944367498
1497,172250.5894617045
1498,154947.21952631217
1499,156137.44611473975
1500,151778.10265117124
1501,194369.05406926092
1502,139247.49667185356
1503,262394.9534594479
1504,232500.21893243142
1505,213977.7583892612
1506,190740.3429693277
1507,238256.88238770986
1508,182470.35690781055
1509,155720.67346206596
1510,142073.72069967855
1511,139140.14377878862
1512,174916.06328800984
1513,159154.55723604385
1514,143802.35714631155
1515,196620.17133202963
1516,163499.9795592791
1517,165854.74477903527
1518,118301.72693780749
1519,210703.56647565326
1520,120051.23238240863
1521,117578.81338702147
1522,196904.61002366093
1523,95783.90230830267
1524,113365.8505438059
1525,104266.26026276528
1526,99295.39195207943
1527,91652.57175447882
1528,141069.59673473187
1529,140979.22311294943
1530,212519.578478738
1531,138252.65161790425
1532,104921.14633796591
1533,141960.25165236442
1534,120357.75453641354
1535,138051.746038469
1536,90181.53977607281
1537,29156.40543202049
1538,151903.36550577756
1539,204020.73989042675
1540,117822.82560808507
1541,122747.6048093937
1542,135675.022722039
1543,174374.0017853216
1544,88401.6385396283
1545,118751.40075808203
1546,131700.20405848688
1547,135046.6003414917
1548,133871.25850607856
1549,110118.25546890264
1550,130351.22587230538
1551,106264.32216824926
1552,143636.72288953862
1553,152121.04335338646
1554,113149.62901311471
1555,155953.70452045283
1556,79289.68802345946
1557,89934.45816825533
1558,87464.62025514568
1559,74067.66924373421
1560,128321.46608549837
1561,116966.47102612624
1562,128098.48182963286
1563,112938.02717234482
1564,140615.32186445297
1565,142537.18462007036
1566,239091.0474275823
1567,72195.78318004131
1568,228034.9687795997
1569,101717.63846003983
1570,139800.26460052322
1571,90270.3185626846
1572,138996.40019696695
1573,238156.67910748086
1574,117845.97978472471
1575,234565.80899530853
1576,228370.8206756336
1577,180436.1993958784
1578,142396.70853300637
1579,123068.03953210954
1580,183147.02774825646
1581,156409.41274239
1582,134274.89139478037
1583,264571.519504174
1584,224098.24535470502
1585,143440.19718447933
1586,41756.829684547905
1587,106176.56389764365
1588,160387.64360075144
1589,96388.46243003588
1590,126658.51333743709
1591,86895.90878275869
1592,119561.11157276592
1593,134769.28116717003
1594,130974.29272257027
1595,120734.60500325533
1596,223685.4846946502
1597,187768.5562500852
1598,221677.60788475943
1599,191481.04749206814
1600,162881.83203292926
1601,29301.789301119017
1602,113198.71266482683
1603,79210.19053181223
1604,286603.86314876913
1605,231508.9635859248
1606,142273.53868579853
1607,157250.68430184235
1608,215772.81822464333
1609,178988.52121077938
1610,148761.11108291429
1611,130289.78181966278
1612,186983.34362331033
1613,158793.71646334842
1614,139860.33871944764
1615,78298.30027806138
1616,61941.658232438305
1617,72044.14488879404
1618,109674.55566360662
1619,147042.12673769947
1620,155403.63496721358
1621,125722.33419429469
1622,138140.97552693752
1623,249291.56571063708
1624,200769.89646582803
1625,101105.86611654318
1626,174605.43692053296
1627,169725.3929020471
1628,281488.9798918346
1629,178661.59255790728
1630,311520.05967748316
1631,223717.05465686345
1632,226874.2895340691
1633,182126.37807016794
1634,180570.07612046503
1635,168635.80215710375
1636,148801.52668279977
1637,188180.59486526882
1638,200778.4623374173
1639,185487.08887051072
1640,243688.8629656834
1641,180799.16321607644
1642,248797.76825808655
1643,221051.74384932785
1644,221907.65424080315
1645,211885.91296424728
1646,158920.2459273681
1647,150813.18918200402
1648,122899.33173147075
1649,131782.75118679623
1650,109824.64637755313
1651,113361.0262734073
1652,104034.83203672589
1653,106211.34927356377
1654,137750.25981820046
1655,125224.26895570592
1656,125170.31041848182
1657,137871.6763649151
1658,139459.6923360082
1659,113286.94613844936
1660,142135.5117365964
1661,413580.79427485436
1662,365348.7566376785
1663,370935.3578168112
1664,455606.9315096241
1665,336601.74309335905
1666,325157.86000682553
1667,358589.1950759145
